FoldingJib,MainJib,Outreach,Height,Condition,Environment,Cd,Load
8.33,68.57,12.79,16.9,Cdyn115,Harbour,1.15,140.0
8.33,75.43,11.19,18.16,Cdyn115,Harbour,1.15,120.72
8.33,82.29,9.43,19.24,Cdyn115,Harbour,1.15,95.34
8.33,84.0,8.99,19.47,Cdyn115,Harbour,1.15,90.55
16.65,0.0,17.5,-4.0,Cdyn115,Harbour,1.15,39.31
16.65,6.86,18.42,-1.83,Cdyn115,Harbour,1.15,45.93
16.65,13.71,19.07,0.44,Cdyn115,Harbour,1.15,55.45
16.65,20.57,19.44,2.77,Cdyn115,Harbour,1.15,69.84
16.65,27.43,19.53,5.13,Cdyn115,Harbour,1.15,93.39
16.65,34.29,19.34,7.49,Cdyn115,Harbour,1.15,102.75
16.65,41.14,18.87,9.8,Cdyn115,Harbour,1.15,105.88
16.65,48.0,18.13,11.96,Cdyn115,Harbour,1.15,110.56
16.65,54.86,17.12,13.9,Cdyn115,Harbour,1.15,116.74
16.65,61.71,15.87,15.7,Cdyn115,Harbour,1.15,124.32
16.65,68.57,14.38,17.34,Cdyn115,Harbour,1.15,114.53
16.65,75.43,12.71,18.8,Cdyn115,Harbour,1.15,91.2
16.65,82.29,10.95,20.06,Cdyn115,Harbour,1.15,76.1
16.65,84.0,10.49,20.35,Cdyn115,Harbour,1.15,73.15
24.98,0.0,18.88,-5.05,Cdyn115,Harbour,1.15,57.69
24.98,6.86,19.91,-2.7,Cdyn115,Harbour,1.15,69.72
24.98,13.71,20.66,-0.25,Cdyn115,Harbour,1.15,88.13
24.98,20.57,21.1,2.28,Cdyn115,Harbour,1.15,91.46
24.98,27.43,21.24,4.84,Cdyn115,Harbour,1.15,90.88
24.98,34.29,21.07,7.4,Cdyn115,Harbour,1.15,92.07
24.98,41.14,20.6,9.8,Cdyn115,Harbour,1.15,95.02
24.98,48.0,19.83,12.04,Cdyn115,Harbour,1.15,99.69
24.98,54.86,18.77,14.18,Cdyn115,Harbour,1.15,106.0
24.98,61.71,17.44,16.18,Cdyn115,Harbour,1.15,108.97
24.98,68.57,15.91,18.02,Cdyn115,Harbour,1.15,87.44
24.98,75.43,14.22,19.67,Cdyn115,Harbour,1.15,73.55
24.98,82.29,12.34,21.1,Cdyn115,Harbour,1.15,63.95
24.98,84.0,11.84,21.43,Cdyn115,Harbour,1.15,62.03
33.31,0.0,20.4,-5.89,Cdyn115,Harbour,1.15,81.68
33.31,6.86,21.52,-3.35,Cdyn115,Harbour,1.15,88.48
33.31,13.71,22.33,-0.7,Cdyn115,Harbour,1.15,83.82
33.31,20.57,22.82,2.03,Cdyn115,Harbour,1.15,81.02
33.31,27.43,22.97,4.8,Cdyn115,Harbour,1.15,80.51
33.31,34.29,22.8,7.4,Cdyn115,Harbour,1.15,81.2
33.31,41.14,22.29,9.92,Cdyn115,Harbour,1.15,84.16
33.31,48.0,21.47,12.37,Cdyn115,Harbour,1.15,89.0
33.31,54.86,20.3,14.71,Cdyn115,Harbour,1.15,95.63
33.31,61.71,18.97,16.9,Cdyn115,Harbour,1.15,83.99
33.31,68.57,17.39,18.93,Cdyn115,Harbour,1.15,71.2
33.31,75.43,15.58,20.75,Cdyn115,Harbour,1.15,62.29
33.31,82.29,13.56,22.33,Cdyn115,Harbour,1.15,55.95
33.31,84.0,13.03,22.69,Cdyn115,Harbour,1.15,54.66
41.63,0.0,22.03,-6.5,Cdyn115,Harbour,1.15,78.57
41.63,6.86,23.21,-3.76,Cdyn115,Harbour,1.15,79.51
41.63,13.71,24.05,-0.91,Cdyn115,Harbour,1.15,76.61
41.63,20.57,24.55,2.02,Cdyn115,Harbour,1.15,74.87
41.63,27.43,24.69,4.79,Cdyn115,Harbour,1.15,74.31
41.63,34.29,24.48,7.56,Cdyn115,Harbour,1.15,74.94
41.63,41.14,23.92,10.29,Cdyn115,Harbour,1.15,76.74
41.63,48.0,22.99,12.94,Cdyn115,Harbour,1.15,79.7
41.63,54.86,21.86,15.47,Cdyn115,Harbour,1.15,80.82
41.63,61.71,20.43,17.85,Cdyn115,Harbour,1.15,69.02
41.63,68.57,18.72,20.04,Cdyn115,Harbour,1.15,60.75
41.63,75.43,16.77,22.01,Cdyn115,Harbour,1.15,54.84
41.63,82.29,14.59,23.73,Cdyn115,Harbour,1.15,50.63
41.63,84.0,14.02,24.12,Cdyn115,Harbour,1.15,49.79
49.96,0.0,23.72,-6.86,Cdyn115,Harbour,1.15,71.91
49.96,6.86,24.93,-3.93,Cdyn115,Harbour,1.15,73.48
49.96,13.71,25.78,-0.91,Cdyn115,Harbour,1.15,70.45
49.96,20.57,26.26,2.03,Cdyn115,Harbour,1.15,68.67
49.96,27.43,26.37,5.0,Cdyn115,Harbour,1.15,68.15
49.96,34.29,26.09,7.98,Cdyn115,Harbour,1.15,68.91
49.96,41.14,25.44,10.9,Cdyn115,Harbour,1.15,70.94
49.96,48.0,24.53,13.74,Cdyn115,Harbour,1.15,74.2
49.96,54.86,23.29,16.45,Cdyn115,Harbour,1.15,67.0
49.96,61.71,21.73,18.99,Cdyn115,Harbour,1.15,59.31
49.96,68.57,19.88,21.33,Cdyn115,Harbour,1.15,53.81
49.96,75.43,17.76,23.43,Cdyn115,Harbour,1.15,49.91
49.96,82.29,15.41,25.26,Cdyn115,Harbour,1.15,47.23
49.96,84.0,14.79,25.67,Cdyn115,Harbour,1.15,46.72
58.29,0.0,25.45,-6.98,Cdyn115,Harbour,1.15,66.11
58.29,6.86,26.66,-3.93,Cdyn115,Harbour,1.15,67.3
58.29,13.71,27.49,-0.86,Cdyn115,Harbour,1.15,64.25
58.29,20.57,27.93,2.28,Cdyn115,Harbour,1.15,62.53
58.29,27.43,27.96,5.46,Cdyn115,Harbour,1.15,62.16
58.29,34.29,27.61,8.63,Cdyn115,Harbour,1.15,63.16
58.29,41.14,26.96,11.74,Cdyn115,Harbour,1.15,65.51
58.29,48.0,25.94,14.76,Cdyn115,Harbour,1.15,65.13
58.29,54.86,24.56,17.63,Cdyn115,Harbour,1.15,57.97
58.29,61.71,22.85,20.31,Cdyn115,Harbour,1.15,52.86
58.29,68.57,20.84,22.77,Cdyn115,Harbour,1.15,49.24
58.29,75.43,18.54,24.98,Cdyn115,Harbour,1.15,46.79
58.29,82.29,16.0,26.89,Cdyn115,Harbour,1.15,45.31
58.29,84.0,15.33,27.32,Cdyn115,Harbour,1.15,45.07
66.61,0.0,27.18,-6.99,Cdyn115,Harbour,1.15,61.11
66.61,6.86,28.36,-3.84,Cdyn115,Harbour,1.15,61.1
66.61,13.71,29.14,-0.57,Cdyn115,Harbour,1.15,58.13
66.61,20.57,29.5,2.78,Cdyn115,Harbour,1.15,56.58
66.61,27.43,29.48,6.16,Cdyn115,Harbour,1.15,56.48
66.61,34.29,29.11,9.51,Cdyn115,Harbour,1.15,57.81
66.61,41.14,28.34,12.8,Cdyn115,Harbour,1.15,60.57
66.61,48.0,27.18,15.97,Cdyn115,Harbour,1.15,56.73
66.61,54.86,25.65,18.97,Cdyn115,Harbour,1.15,51.97
66.61,61.71,23.77,21.78,Cdyn115,Harbour,1.15,48.62
66.61,68.57,21.58,24.34,Cdyn115,Harbour,1.15,46.39
66.61,75.43,19.09,26.62,Cdyn115,Harbour,1.15,45.1
66.61,82.29,16.35,28.59,Cdyn115,Harbour,1.15,44.65
66.61,84.0,15.63,29.03,Cdyn115,Harbour,1.15,44.66
74.94,0.0,28.87,-6.85,Cdyn115,Harbour,1.15,56.84
74.94,6.86,30.0,-3.49,Cdyn115,Harbour,1.15,55.01
74.94,13.71,30.67,-0.02,Cdyn115,Harbour,1.15,52.24
74.94,20.57,31.02,3.52,Cdyn115,Harbour,1.15,50.96
74.94,27.43,30.95,7.07,Cdyn115,Harbour,1.15,51.21
74.94,34.29,30.46,10.6,Cdyn115,Harbour,1.15,52.98
74.94,41.14,29.55,14.04,Cdyn115,Harbour,1.15,55.57
74.94,48.0,28.23,17.34,Cdyn115,Harbour,1.15,51.15
74.94,54.86,26.53,20.47,Cdyn115,Harbour,1.15,48.06
74.94,61.71,24.47,23.37,Cdyn115,Harbour,1.15,46.04
74.94,68.57,22.08,26.0,Cdyn115,Harbour,1.15,44.94
74.94,75.43,19.39,28.33,Cdyn115,Harbour,1.15,44.66
74.94,82.29,16.44,30.32,Cdyn115,Harbour,1.15,44.72
74.94,84.0,15.67,30.76,Cdyn115,Harbour,1.15,44.66
83.27,0.0,30.49,-6.46,Cdyn115,Harbour,1.15,53.2
83.27,6.86,31.52,-2.91,Cdyn115,Harbour,1.15,49.17
83.27,13.71,32.22,0.75,Cdyn115,Harbour,1.15,46.8
83.27,20.57,32.47,4.47,Cdyn115,Harbour,1.15,46.23
83.27,27.43,32.28,8.2,Cdyn115,Harbour,1.15,46.67
83.27,34.29,31.64,11.87,Cdyn115,Harbour,1.15,48.76
